,Title,Link
0,Cafe on the Common,https://www.tripadvisor.com/Restaurant_Review-g41880-d4158163-Reviews-Cafe_on_the_Common-Waltham_Massachusetts.html
1,The Tea Leaf,https://www.tripadvisor.com/Restaurant_Review-g41880-d1873035-Reviews-The_Tea_Leaf-Waltham_Massachusetts.html
2,Dunkin' Donuts,https://www.tripadvisor.com/Restaurant_Review-g41880-d4730277-Reviews-Dunkin_Donuts-Waltham_Massachusetts.html
3,Dunkin' Donuts,https://www.tripadvisor.com/Restaurant_Review-g41880-d5047090-Reviews-Dunkin_Donuts-Waltham_Massachusetts.html
4,Dunkin' Donuts,https://www.tripadvisor.com/Restaurant_Review-g41880-d4198204-Reviews-Dunkin_Donuts-Waltham_Massachusetts.html
5,L'Aroma Cafe and Bakery,https://www.tripadvisor.com/Restaurant_Review-g41707-d2538933-Reviews-L_Aroma_Cafe_and_Bakery-Newton_Massachusetts.html
6,Starbucks,https://www.tripadvisor.com/Restaurant_Review-g41880-d10620762-Reviews-Starbucks-Waltham_Massachusetts.html
7,Dunkin' Donuts,https://www.tripadvisor.com/Restaurant_Review-g41880-d4136659-Reviews-Dunkin_Donuts-Waltham_Massachusetts.html
8,Dunkin' Donuts,https://www.tripadvisor.com/Restaurant_Review-g41880-d4135189-Reviews-Dunkin_Donuts-Waltham_Massachusetts.html
9,L.A. Burdick Handmade Chocolates,https://www.tripadvisor.com/Restaurant_Review-g60890-d323077-Reviews-L_A_Burdick_Handmade_Chocolates-Cambridge_Massachusetts.html
10,George Howell Coffee,https://www.tripadvisor.com/Restaurant_Review-g41707-d4158901-Reviews-George_Howell_Coffee-Newton_Massachusetts.html
11,Coffee Kiosk at Boston Marriott Newton,https://www.tripadvisor.com/Restaurant_Review-g41707-d4208294-Reviews-Coffee_Kiosk_at_Boston_Marriott_Newton-Newton_Massachusetts.html
12,Timeless Teas,https://www.tripadvisor.com/Restaurant_Review-g41707-d4931223-Reviews-Timeless_Teas-Newton_Massachusetts.html
13,Dunkin' Donuts,https://www.tripadvisor.com/Restaurant_Review-g41707-d4136489-Reviews-Dunkin_Donuts-Newton_Massachusetts.html
14,Crema Cafe,https://www.tripadvisor.com/Restaurant_Review-g60890-d1574579-Reviews-Crema_Cafe-Cambridge_Massachusetts.html
15,Dunkin' Donuts,https://www.tripadvisor.com/Restaurant_Review-g41707-d4134840-Reviews-Dunkin_Donuts-Newton_Massachusetts.html
16,Dunkin' Donuts,https://www.tripadvisor.com/Restaurant_Review-g41707-d4135791-Reviews-Dunkin_Donuts-Newton_Massachusetts.html
17,Starbucks,https://www.tripadvisor.com/Restaurant_Review-g41707-d4114160-Reviews-Starbucks-Newton_Massachusetts.html
18,Kefi's Kitchen & Coffee,https://www.tripadvisor.com/Restaurant_Review-g41887-d12118788-Reviews-Kefi_s_Kitchen_Coffee-Watertown_Massachusetts.html
19,Bellmont Caffe,https://www.tripadvisor.com/Restaurant_Review-g41459-d6728299-Reviews-Bellmont_Caffe-Belmont_Massachusetts.html
20,Starbucks,https://www.tripadvisor.com/Restaurant_Review-g41887-d4113224-Reviews-Starbucks-Watertown_Massachusetts.html
21,Dunkin' Donuts,https://www.tripadvisor.com/Restaurant_Review-g41707-d4134770-Reviews-Dunkin_Donuts-Newton_Massachusetts.html
22,Dunkin' Donuts,https://www.tripadvisor.com/Restaurant_Review-g41459-d4731342-Reviews-Dunkin_Donuts-Belmont_Massachusetts.html
23,Dunkin' Donuts,https://www.tripadvisor.com/Restaurant_Review-g41887-d4158513-Reviews-Dunkin_Donuts-Watertown_Massachusetts.html
24,Dunkin' Donuts,https://www.tripadvisor.com/Restaurant_Review-g41707-d4135494-Reviews-Dunkin_Donuts-Newton_Massachusetts.html
25,Starbucks,https://www.tripadvisor.com/Restaurant_Review-g41459-d4113054-Reviews-Starbucks-Belmont_Massachusetts.html
26,Fleck Coffee,https://www.tripadvisor.com/Restaurant_Review-g41707-d7807348-Reviews-Fleck_Coffee-Newton_Massachusetts.html
27,Peet's Coffee & Tea,https://www.tripadvisor.com/Restaurant_Review-g41707-d889524-Reviews-Peet_s_Coffee_Tea-Newton_Massachusetts.html
28,Dunkin' Donuts,https://www.tripadvisor.com/Restaurant_Review-g41887-d4136413-Reviews-Dunkin_Donuts-Watertown_Massachusetts.html
29,Starbucks,https://www.tripadvisor.com/Restaurant_Review-g41459-d6564636-Reviews-Starbucks-Belmont_Massachusetts.html
